
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.055358468   0.97907895    0.10905552
0.055480943   0.97902691    0.10947872
0.055603417   0.97897484    0.10990241
0.055725892   0.97892273    0.11032659
0.055848366   0.97887057    0.11075126
0.055970841   0.97881837    0.11117641
0.056093315   0.97876613    0.11160204
0.05621579   0.97871385    0.11202815
0.056338264   0.97866153    0.11245474
0.056460739   0.97860917    0.1128818
0.056583213   0.97855677    0.11330934
0.056705688   0.97850432    0.11373734
0.056828162   0.97845183    0.11416581
0.056950637   0.9783993    0.11459475
0.057073111   0.97834673    0.11502415
0.057195585   0.97829412    0.115454
0.05731806   0.97824146    0.11588432
0.057440534   0.97818876    0.11631509
0.057563009   0.97813603    0.11674631
0.057685483   0.97808324    0.11717798
0.057807958   0.97803042    0.11761009
0.057930432   0.97797756    0.11804265
0.058052907   0.97792465    0.11847566
0.058175381   0.9778717    0.1189091
0.058297856   0.97781871    0.11934298
0.05842033   0.97776567    0.11977729
0.058542805   0.9777126    0.12021204
0.058665279   0.97765948    0.12064722
0.058787754   0.97760632    0.12108282
0.058910228   0.97755311    0.12151885
0.059032703   0.97749986    0.1219553
0.059155177   0.97744658    0.12239217
0.059277652   0.97739324    0.12282945
0.059400126   0.97733987    0.12326715
0.059522601   0.97728645    0.12370527
0.059645075   0.97723299    0.12414379
0.05976755   0.97717949    0.12458272
0.059890024   0.97712594    0.12502205
0.060012499   0.97707235    0.12546179
0.060134973   0.97701872    0.12590193
0.060257448   0.97696505    0.12634246
0.060379922   0.97691133    0.12678339
0.060502397   0.97685757    0.12722471
0.060624871   0.97680377    0.12766642
0.060747346   0.97674992    0.12810851
0.06086982   0.97669603    0.12855099
0.060992295   0.9766421    0.12899385
0.061114769   0.97658812    0.1294371
0.061237244   0.9765341    0.12988072
0.061359718   0.97648004    0.13032471
0.061482193   0.97642594    0.13076908
0.061604667   0.97637179    0.13121381
0.061727142   0.9763176    0.13165891
0.061849616   0.97626336    0.13210438
0.06197209   0.97620908    0.13255021
0.062094565   0.97615476    0.1329964
0.062217039   0.97610039    0.13344294
0.062339514   0.97604598    0.13388984
0.062461988   0.97599153    0.13433709
0.062584463   0.97593704    0.13478469
0.062706937   0.9758825    0.13523264
0.062829412   0.97582791    0.13568093
0.062951886   0.97577329    0.13612957
0.063074361   0.97571862    0.13657854
0.063196835   0.9756639    0.13702785
0.06331931   0.97560915    0.13747749
0.063441784   0.97555435    0.13792747
0.063564259   0.9754995    0.13837778
0.063686733   0.97544462    0.13882841
0.063809208   0.97538968    0.13927937
0.063931682   0.97533471    0.13973064
0.064054157   0.97527969    0.14018224
0.064176631   0.97522463    0.14063416
0.064299106   0.97516952    0.14108639
0.06442158   0.97511437    0.14153893
0.064544055   0.97505918    0.14199178
0.064666529   0.97500394    0.14244494
0.064789004   0.97494866    0.1428984
0.064911478   0.97489334    0.14335216
0.065033953   0.97483797    0.14380622
0.065156427   0.97478256    0.14426058
0.065278902   0.9747271    0.14471523
0.065401376   0.9746716    0.14517018
0.065523851   0.97461606    0.14562541
0.065646325   0.97456047    0.14608093
0.0657688   0.97450484    0.14653674
0.065891274   0.97444917    0.14699283
0.066013749   0.97439345    0.14744919
0.066136223   0.97433769    0.14790584
0.066258698   0.97428188    0.14836275
0.066381172   0.97422603    0.14881994
0.066503647   0.97417014    0.1492774
0.066626121   0.9741142    0.14973512
0.066748595   0.97405822    0.15019311
0.06687107   0.9740022    0.15065136
0.066993544   0.97394613    0.15110987
0.067116019   0.97389002    0.15156864
0.067238493   0.97383386    0.15202766
0.067360968   0.97377766    0.15248693
0.067483442   0.97372142    0.15294645
0.067605917   0.97366513    0.15340622
0.067728391   0.9736088    0.15386623
0.067850866   0.97355243    0.15432649
0.06797334   0.97349601    0.15478698
0.068095815   0.97343955    0.15524771
0.068218289   0.97338305    0.15570868
