
------------GKM DNS-DHIT-----------
N    =  63x63x63
M    =  0.3
k0   =  4
------------Reference TKE-----------

Time   TKE
0       1.0000093
_______________________________________________________

-------Tracking Turbulence Statistics-------------

Time  	      TKE   		PRMS
________________________________________________________
0.046540141   0.98272145    0.080035806
0.046662614   0.98267245    0.080417231
0.046785086   0.98262322    0.080799289
0.046907559   0.98257446    0.081182018
0.047030032   0.98252451    0.08156541
0.047152504   0.9824757    0.081949443
0.047274977   0.98242575    0.082334146
0.047397453   0.98237622    0.082719527
0.047519926   0.98232681    0.083105527
0.047642399   0.9822771    0.083492182
0.047764871   0.98222774    0.083879501
0.047887344   0.98217791    0.084267437
0.048009817   0.98212862    0.084656015
0.048132289   0.98207843    0.085045248
0.048254762   0.98202842    0.085435115
0.048377234   0.98197931    0.085825637
0.048499707   0.98192942    0.086216763
0.04862218   0.981879    0.086608544
0.048744652   0.9818294    0.087000899
0.048867125   0.98177963    0.087393939
0.048989598   0.98173004    0.087787561
0.049112074   0.98167962    0.088181838
0.049234547   0.98162979    0.088576719
0.049357019   0.98157978    0.088972226
0.049479492   0.98152941    0.089368321
0.049601965   0.98147905    0.089765035
0.049724437   0.9814288    0.090162359
0.04984691   0.98137909    0.09056028
0.049969383   0.98132849    0.090958834
0.050091855   0.98127836    0.091357969
0.050214328   0.98122787    0.091757692
0.050336801   0.98117751    0.092158042
0.050459273   0.98112726    0.09255898
0.050581746   0.9810769    0.092960499
0.050704222   0.98102665    0.093362577
0.050826695   0.98097557    0.093765281
0.050949167   0.98092508    0.094168596
0.05107164   0.98087466    0.094572447
0.051194113   0.98082447    0.094976865
0.051316585   0.98077339    0.095381916
0.051439058   0.98072278    0.095787488
0.051561531   0.98067194    0.096193656
0.051684003   0.9806211    0.096600406
0.051806476   0.98057026    0.097007692
0.051928949   0.98051912    0.097415574
0.052051421   0.98046821    0.097824007
0.052173894   0.98041731    0.098232992
0.052296367   0.98036653    0.09864255
0.052418843   0.98031557    0.09905266
0.052541316   0.98026454    0.099463321
0.052663788   0.9802134    0.099874534
0.052786261   0.9801622    0.1002863
0.052908733   0.98011112    0.10069859
0.053031206   0.98005974    0.10111145
0.053153679   0.98000872    0.10152484
0.053276151   0.97995687    0.10193875
